,,,,#N,,,,,,,#N,,,
Test,1,3,5,10,30,50,100,1,5,10,50,100,500,1000
XS(1),58.8,18.4,11.2,5.7,2,1.3,1,154.5,31.3,14.8,3.1,1.6,1,1
XS(N^{-1/2}),32.8,13.3,9.3,5.6,2.5,1.7,1,153.8,36.1,18.9,6.8,4.4,1.5,1
Mei,51.8,21.1,14.6,8.6,3.9,2.9,2,111.9,33.9,20.3,7.3,5,2,2
Mei(N^{-1/2}),25.9,14.3,11,7.7,4.4,3.4,2.3,32.4,15.7,11.9,6.6,5,2.6,2
Mei(3N^{-1/2}),33.6,16.1,11.8,7.7,4.1,3.1,2,43.3,17.6,12.7,6.5,4.9,2.6,2
S(N^{-1/2}),26.9,13.3,9.7,6.2,2.9,2,1.1,33.1,13.6,9.5,3.8,2.4,1,1
S(3N^{-1/2}),34.6,13.9,9.5,5.5,2.2,1.5,1,45.5,14.4,9.4,3.2,1.9,1,1
N,38.2,17.3,11.6,7.4,3.2,2.2,1.2,52.3,16.8,11.9,5.6,3.4,1,1
"SL(\lambda_{1}=1,\lambda_{2}=0.8)",26.5,13.3,9.7,6.2,2.9,2,1.1,32.4,13.8,9.8,4.2,2.7,1,1
"SL(\lambda_{1}=1,\lambda_{2}=1.99)",30.2,13.6,9.5,5.5,2.2,1.5,1,36.4,13.9,9.3,3.4,2,1,1
