,,,,,#N,,,,,,,#N,,,
Parameters,,1,3,5,10,30,50,100,1,5,10,50,100,500,1000
"\lambda_{1}=1,\lambda_{2}=0.2",,25.5,13.5,10.4,7.1,3.8,2.8,1.8,31.6,14.2,10.5,5.2,3.6,1.5,1
"\lambda_{1}=1,\lambda_{2}=0.4",,25.8,13.3,10.1,6.7,3.4,2.4,1.4,31.9,14,10.2,4.8,3.3,1,1
"\lambda_{1}=1,\lambda_{2}=0.6",,26,13.2,9.9,6.4,3.1,2.2,1.2,32,13.8,10,4.5,2.9,1,1
"\lambda_{1}=1,\lambda_{2}=0.8",,26.5,13.3,9.7,6.2,2.9,2,1.1,32.4,13.8,9.8,4.2,2.7,1,1
"\lambda_{1}=1,\lambda_{2}=1",,27.1,13.3,9.7,6,2.7,1.8,1,33,13.7,9.7,4,2.5,1,1
"\lambda_{1}=1,\lambda_{2}=1.2",,27.7,13.3,9.6,5.9,2.6,1.7,1,33.7,13.7,9.5,3.8,2.4,1,1
"\lambda_{1}=1,\lambda_{2}=1.4",,28.3,13.4,9.6,5.8,2.5,1.7,1,34.2,13.7,9.5,3.7,2.2,1,1
"\lambda_{1}=1,\lambda_{2}=1.6",,29,13.5,9.6,5.7,2.4,1.6,1,35.2,13.7,9.4,3.5,2.2,1,1
"\lambda_{1}=1,\lambda_{2}=1.8",,29.7,13.6,9.6,5.7,2.3,1.5,1,35.8,13.8,9.4,3.5,2.1,1,1
"\lambda_{1}=1,\lambda_{2}=1.99",,30.2,13.6,9.5,5.5,2.2,1.5,1,36.4,13.9,9.3,3.4,2,1,1
